DATE,TIME,CLOSE,HIGH,LOW,OPEN,VOLUME
23/01/2017,15:43:00,9.548,9.55,9.537,9.55,7431
23/01/2017,15:44:00,9.557,9.557,9.544,9.544,753
23/01/2017,15:49:00,9.542,9.55,9.542,9.55,4953
23/01/2017,15:51:00,9.538,9.538,9.538,9.538,755
23/01/2017,15:53:00,9.539,9.539,9.539,9.539,1000
23/01/2017,15:54:00,9.535,9.535,9.535,9.535,947
23/01/2017,15:55:00,9.535,9.539,9.535,9.537,5416
23/01/2017,15:56:00,9.54,9.54,9.537,9.537,401
23/01/2017,15:58:00,9.533,9.533,9.533,9.533,6
23/01/2017,16:00:00,9.537,9.537,9.537,9.537,703
23/01/2017,16:01:00,9.534,9.534,9.533,9.533,3213
23/01/2017,16:02:00,9.534,9.534,9.534,9.534,2017
23/01/2017,16:03:00,9.542,9.542,9.542,9.542,324
23/01/2017,16:04:00,9.535,9.536,9.534,9.535,7528
23/01/2017,16:05:00,9.544,9.544,9.535,9.536,2111
23/01/2017,16:06:00,9.551,9.552,9.544,9.544,7431
23/01/2017,16:07:00,9.553,9.553,9.553,9.553,500
23/01/2017,16:08:00,9.551,9.551,9.551,9.551,322
23/01/2017,16:09:00,9.555,9.555,9.547,9.547,310
23/01/2017,16:10:00,9.56,9.561,9.553,9.553,28998
23/01/2017,16:12:00,9.559,9.56,9.559,9.56,1321
23/01/2017,16:13:00,9.561,9.561,9.561,9.561,100
23/01/2017,16:14:00,9.559,9.559,9.559,9.559,340
23/01/2017,16:15:00,9.559,9.559,9.559,9.559,1920
23/01/2017,16:16:00,9.555,9.557,9.555,9.556,506
23/01/2017,16:18:00,9.557,9.557,9.557,9.557,326
23/01/2017,16:19:00,9.556,9.556,9.556,9.556,387
23/01/2017,16:20:00,9.554,9.557,9.554,9.556,9291
23/01/2017,16:21:00,9.551,9.551,9.551,9.551,388
23/01/2017,16:23:00,9.553,9.553,9.548,9.552,15967
23/01/2017,16:24:00,9.548,9.555,9.548,9.555,1073
23/01/2017,16:26:00,9.547,9.554,9.547,9.549,4650
23/01/2017,16:27:00,9.558,9.558,9.546,9.55,13086
23/01/2017,16:28:00,9.559,9.559,9.556,9.556,1076
23/01/2017,16:30:00,9.563,9.563,9.556,9.556,797
23/01/2017,16:31:00,9.564,9.564,9.564,9.564,250
23/01/2017,16:33:00,9.559,9.565,9.559,9.564,1439
23/01/2017,16:34:00,9.555,9.556,9.555,9.556,640
23/01/2017,16:35:00,9.556,9.56,9.555,9.555,1567
23/01/2017,16:37:00,9.561,9.561,9.555,9.558,1158
23/01/2017,16:40:00,9.558,9.562,9.558,9.562,608
