Law Enforcement Agency,Number of Incident Reports,Incident Case Number,Date of Incident,Time of Incident,Sex,Race,Hispanic,Height,Weight,Age,Deployment Type I,Deployment Type II,Displays or Arc,Drive Stun Application,Activation After Probe Contact,Number of Deployments,Warning to Subject,Subject Injured,Not Injured,Bruises,Abrasions,Breathing Difficulty,Probe Puncture Only,Lost Consciousness,Death,Other,Officer Injured,Not Injured,Bruises,Abrasions,Breathing Difficulty,Probe Puncture Only,Lost Consciousness,Death,Other,Location Environment,Officer's Arrival,,Crime in Progress,Domestic Disturbance,Disturbance (Other),Traffic Stop,Emotionally Disturbed Person,Suspicious Person,Executing Warrant,Under Influence,Other,Non-aggressive,Previous Hostility,Possibly Intoxicated,Emotionally Disturbed,Aggressive (Verbal),Aggressive (Physical),Armed with,Other,Threat/ Hostile,Dead Weight/ Non Compliant,Fighting Stance/ Combative,Threaten Use of Weapon,Fleeing,Unarmed Assault,Armed with Firearm,Armed with Edged Weapon,Armed with Blunt Instrument,Armed with Other,Failed to Follow Directions,Suicidal,Other
Berlin,1,2015-02192,02/02/2015,17:57,Male,Asian,FALSE,"5'7""",150,18,C,,,,5 Seconds,1,TRUE,TRUE,,,,,TRUE,,,,TRUE,,TRUE,TRUE,,,,,TRUE,Subject's Residence,Marked Cruiser,,,TRUE,,,TRUE,,,,,,,,TRUE,TRUE,TRUE,metal pipe,,TRUE,,TRUE,TRUE,,,,,TRUE,,TRUE,,
Danbury,1,1500007027,04/02/2015,22:10,Male,White,TRUE,"6'0""",175,37,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Indoors-Public Building,Officer in Uniform,,,,TRUE,,,,,,,,,,TRUE,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,TRUE,TRUE,
Norwalk,1,15-05036,05/02/2015,02:40,Male,White,TRUE,"5'3""",175,65,C,,,,5 sec,1,TRUE,TRUE,,TRUE,TRUE,,TRUE,,,TRUE,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,TRUE,,,,,,,,armed robbery of gas station,,,,TRUE,,TRUE,,,,,,,TRUE,,TRUE,,,,TRUE,,fighting with initial officers
Bridgeport,1,150205-016,05/02/2015,01:58,Male,Black,FALSE,6',290,40,C,,,,"3, 7sec. 2sec. 5sec.",3,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,,TRUE,,,suspicious vehicle,TRUE,,,,,,,,,,,,TRUE,,,,,,,,
Bridgeport,1,150208-178,08/02/2015,17:05,Male,Black,FALSE,"5'10""",180,29,D,,,"1, 5 sec",,1,TRUE,TRUE,,,TRUE,,,,,,TRUE,,,,,,,,TRUE,Outdoors-Public Area,Officer in Uniform,,,,,TRUE,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,TRUE,,,,,,,
CSP (State Police),1,1500072985,08/02/2015,05:40,Male,Unknown,FALSE,Unknown,Unknown,28,D,,,5 sec,,1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,,,TRUE,,,,emergency commimal,,,,TRUE,TRUE,TRUE,,,TRUE,,,,,,,,,,TRUE,,
Hartford ,2,2015-04280,10/02/2015,06:55,Male,Black,FALSE,"5'9""",130,30,C,,,,"1, 5sec.",1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,TRUE,,,TRUE,,,,TRUE,TRUE,,,,Nude and bleeding from head,TRUE,,TRUE,,TRUE,TRUE,,,,,TRUE,,
Vernon,1,15-2066,11/02/2015,21:22,Female,Black,FALSE,"5'02""",200,48,L,,,,,0,FALSE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,TRUE,TRUE,,,,,,,armed with knife,,TRUE,,,TRUE,,Knife,,TRUE,,,,,,,TRUE,,,TRUE,,
East Hartford,1,15-03648,11/02/2015,20:28,Male,Unknown,TRUE,"5'10""",210,37,C,,,,5 seconds,1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,
Mashantucket,2,15-56-AR,11/02/2015,01:07,Male,White,FALSE,"5'8""",200,26,C,,,,2,1,FALSE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Commercial Establishment,Officer in Uniform,,TRUE,,TRUE,,,,,,,,,TRUE,,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,TRUE,,
Mashantucket,2,15-57-AR,11/02/2015,01:07,Male,White,FALSE,"5'11""",160,25,D,,,5 Seconds,,1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Indoors-Public Building,Officer in Uniform,,TRUE,,TRUE,,,,,TRUE,,,,TRUE,,,TRUE,,,TRUE,,TRUE,,,,,,,,,,
Waterbury,1,15-7699,12/02/2015,12:04,Male,White,FALSE,"5'3""",120,15,L,,display only,,,0,FALSE,FALSE,TRUE,,,,,,,,TRUE,,,,,,,,TRUE,Educational Facility,Officer in Uniform,,,,TRUE,,,,,,,,,,,TRUE,TRUE,,,,,TRUE,,TRUE,,,,,,TRUE,,resisting arrest
New London,1,15-000406,13/02/2015,09:12,Male,White,FALSE,"5'9""",160,39,D,,2,5 seconds each,,1,TRUE,TRUE,,TRUE,,,,,,,TRUE,,TRUE,,,,,,,Indoors-Private Property,Marked Cruiser,,TRUE,,TRUE,,,,,TRUE,,,,TRUE,,TRUE,TRUE,,,TRUE,,TRUE,,TRUE,,,,,,TRUE,,
Branford,1,15-3772,14/02/2015,12:24,Male,White,FALSE,"6'0""",190,32,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Officer in Uniform,,,,,,TRUE,,,,,,,TRUE,TRUE,,,Knife,,,,,,,,,,,,,TRUE,
New London,1,15-000424,15/02/2015,03:50,Male,Black,FALSE,"5'8""",145,28,C,D,1,6 seconds,4 seconds,2,TRUE,TRUE,,,,,TRUE,,,,TRUE,,TRUE,TRUE,,,,,,Indoors-Private Property,Marked Cruiser,,,,,,TRUE,,,TRUE,,,,,TRUE,,TRUE,,,TRUE,,,,,,,,,,,,
Orange,1,15-4683,16/02/2015,00:38,Male,White,FALSE,"6'0""",Unknown,23,W,,2 seconds,,,0,FALSE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,,TRUE,TRUE,,,,,,,,,,,,TRUE,,,TRUE,,TRUE,,,,,,,,,,
Willimantic,1,15-3237,17/02/2015,08:56,Male,White,FALSE,"5'9""",150,37,C,,,,1 cycle,1,TRUE,TRUE,,,,,TRUE,,,TRUE,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,,,,,,,armed robbery suspect,TRUE,,,,,,,,,,,TRUE,,,,TRUE,,,TRUE,TRUE,
