Law Enforcement Agency,Number of Incident Reports,Incident Case Number,Date of Incident,Time of Incident,Sex,Race,Hispanic,Height,Weight,Age,Deployment Type I,Deployment Type II,Displays or Arc,Drive Stun Application,Activation After Probe Contact,Number of Deployments,Warning to Subject,Subject Injured,Not Injured,Bruises,Abrasions,Breathing Difficulty,Probe Puncture Only,Lost Consciousness,Death,Other,Officer Injured,Not Injured,Bruises,Abrasions,Breathing Difficulty,Probe Puncture Only,Lost Consciousness,Death,Other,Location Environment,Officer's Arrival,,Crime in Progress,Domestic Disturbance,Disturbance (Other),Traffic Stop,Emotionally Disturbed Person,Suspicious Person,Executing Warrant,Under Influence,Other,Non-aggressive,Previous Hostility,Possibly Intoxicated,Emotionally Disturbed,Aggressive (Verbal),Aggressive (Physical),Armed with,Other,Threat/ Hostile,Dead Weight/ Non Compliant,Fighting Stance/ Combative,Threaten Use of Weapon,Fleeing,Unarmed Assault,Armed with Firearm,Armed with Edged Weapon,Armed with Blunt Instrument,Armed with Other,Failed to Follow Directions,Suicidal,Other
East Hartford,1,15-13328,22/05/2015,22:10,Male,Black,FALSE,Unknown,Unknown,50,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,TRUE,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,TRUE,,
Manchester,1,M201505372,22/05/2015,14:35,Male,White,FALSE,"6'0""",150,47,D,,,5 seconds,,1,FALSE,TRUE,,,,,,,,TRUE,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,TRUE,,,,,,,,TRUE,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,TRUE,TRUE,
Torrington,1,15-19052,22/05/2015,20:22:13,Male,White,TRUE,"5'4""",180,37,C,,,,5 seconds,1,,TRUE,,,TRUE,TRUE,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,TRUE,,,,,,,TRUE,,,,TRUE,,,,"glass bottle, possibly sledgehammer",,,,TRUE,,TRUE,,,,TRUE,,,,
Vernon,1,15-7377,22/05/2015,17:18,Female,White,FALSE,"5'0""",128,17,U,,Pointed,,,0,FALSE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,TRUE,,,,,,,,,TRUE,TRUE,TRUE,,baseball bat,,TRUE,,TRUE,,,,,,TRUE,,TRUE,,
Seymour,1,15-6175,22/05/2015,19:24,Female,White,FALSE,"5'2""",140,17,C,,,,5 seconds,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,,,,,TRUE,,,,,,,,TRUE,,,large kitchen knife,,,,,TRUE,,,,TRUE,,,,TRUE,
New Haven,1,15-23573,23/05/2015,16:10,Male,Black,FALSE,"6'0""",190,33,C,D,,02-Mar,5 seconds,3,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,TRUE,,,TRUE,,,,TRUE,TRUE,,TRUE,,,TRUE,,,,TRUE,,,,,,,,
CSP (State Police),1,1500300859,23/05/2015,19:22,Male,White,FALSE,"5'11""",160,16,D,,,5 sec,,1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,TRUE,,TRUE,,,TRUE,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,,TRUE,,,,,,TRUE,,
Hartford ,1,2015-015672,24/05/2015,18:54,Male,White,TRUE,6',175,52,C,,,,"1, 5 sec. ",1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Commercial Establishment,Marked Cruiser,,TRUE,,,,,TRUE,,,,TRUE,,,,,,,,,TRUE,,,TRUE,,,,,,,,
Hartford ,1,2015-15685,24/05/2015,22:18,Male,Black,FALSE,"5'7""",120,52,C,,,,"1, 5 sec.",1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,TRUE,,,,,,,,,,,,,TRUE,,,,,TRUE,,TRUE,,,,,,TRUE,,
West Hartford,1,15-26025,24/05/2015,01:30,Male,White,FALSE,"6'0""",180,30,L,,,,,0,FALSE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,
Middletown,1,15-12728,24/05/2015,00:47,Male,Black,FALSE,"6'2""",270,23,C,,,,"5 activations, all misses",5,TRUE,FALSE,TRUE,,,,,,,,TRUE,,,,,,,,TRUE,Outdoors-Public Area,Marked Cruiser,,,,,TRUE,,,,,,,,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,,TRUE,,,,,,,TRUE,
Shelton,1,15-7565,25/05/2015,18:50,Male,White,FALSE,"7'3""",250,47,D,,,1,,1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,TRUE,,,,,TRUE,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,breach of peace
Vernon,1,15-7530,25/05/2015,01:15,Male,White,TRUE,"5'6""",145,30,L,,,,,0,FALSE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,
New Haven,1,15-24097,26/05/2015,19:30,Male,Black,FALSE,"5'8""",200,22,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,,TRUE,,,,,,,,TRUE,TRUE,,revolver,,,,,TRUE,,TRUE,,,,,,
New Britain,1,15-12056,26/05/2015,02:00,Male,White,TRUE,"5'6""",138,19,C,,"deployed, missed",,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,TRUE,,,,,,TRUE,,,,,,,didn't comply w/ orders,,,,,TRUE,,,,,,,,
Cromwell,1,15-4355,27/05/2015,09:58,Male,Black,FALSE,"5'10""",144,22,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,TRUE,,,,,,TRUE,victim stated subject in locked bathroom,,,TRUE,,,,unknown if armed,heroin use,TRUE,,,,,,,,,unknown,TRUE,,
Windsor Locks,1,15-5517,28/05/2015,20:55,Female,White,FALSE,Unknown,Unknown,34,C,,,,"5 sec, 5 sec, 3 seconds",3,TRUE,TRUE,,,,,TRUE,,,,TRUE,,TRUE,,,,,,TRUE,Commercial Establishment,Marked Cruiser,,,,,,TRUE,,,,,,,TRUE,TRUE,TRUE,TRUE,,repeatedly requested to be shot by police,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,,,TRUE,
West Hartford,1,1500026834,28/05/2015,20:49,Male,White,FALSE,"6'1""",230,17,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Officer in Uniform,,,TRUE,,,TRUE,,,,,,TRUE,,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,,TRUE,,,,,,,,
Mashantucket,2,15-206-AR,28/05/2015,20:30,Male,White,FALSE,"5'9""",207,46,D,,,"1 application, 4 sec",,1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Commercial Establishment,Officer in Uniform,,TRUE,,TRUE,,,,,TRUE,resisting arrest,,,TRUE,,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,TRUE,,actively resisting arrest
Milford,1,2015003137,28/05/2015,20:45,Male,White,FALSE,"5'8""",Unknown,50,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,,,TRUE,,,,,,,,,,,TRUE,,,,TRUE,,TRUE,,,,,,,,TRUE,,
Milford,1,2015003137,28/05/2015,20:45,Male,White,FALSE,"6'1""",175,18,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,,,TRUE,,,,,,,,,,,TRUE,,,,TRUE,,TRUE,,,,,,,,TRUE,,
Danbury,1,1500035448,29/05/2015,12:20,Male,White,FALSE,"5'9""",150,47,U,,Taser was off,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,,,TRUE,,,TRUE,,,,,,TRUE,,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,,,
New Haven,1,15-24568,29/05/2015,09:30,Male,Black,FALSE,"5'10""",173,16,C,,,,5 sec,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Commercial Establishment,Marked Cruiser,,,,,,TRUE,,,,,,,,TRUE,,TRUE,,,TRUE,,,,,,,,,,,,
Wilton,1,1500005727,30/05/2015,21:00,Male,White,FALSE,Unknown,Unknown,36,C,,,,1 - 5 sec,1,FALSE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,TRUE,,TRUE,,,,,,,TRUE,TRUE,TRUE,TRUE,pocket knife,,,TRUE,TRUE,,,,,TRUE,,,,,
Vernon,1,1500007831,30/05/2015,00:54,Male,White,TRUE,"6'0""",225,26,L,,1,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,TRUE,,,,,,,,,,,,,TRUE,,,TRUE,,,,TRUE,,,,,,TRUE,,
CSP (State Police),1,1500319035,31/05/2015,02:04,Male,White,FALSE,"5'4""",130,19,W,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,TRUE,,,,,,,,TRUE,,TRUE,,,,TRUE,,TRUE,,,TRUE,,,,,,,
Orange,1,15-15209,31/05/2015,22:55,Male,Black,FALSE,"6'2""",225,30,C,,,,5 seconds,1,TRUE,TRUE,,,TRUE,,TRUE,,,,TRUE,,,,,,,,TRUE,Outdoors-Public Area,Marked Cruiser,,TRUE,,,,,,,,,,,,,,,,ran immediately,,,,,TRUE,,,,,,,,
Waterbury,1,2015-30171,02/06/2015,20:15,Male,Black,FALSE,"5'10""",180,27,C,,,,5 seconds,1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Unmarked Vehicle,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,TRUE,,
North Haven,1,15-10341,03/06/2015,19:44,Male,White,FALSE,"5'9""",230,64,D,,,1,,1,TRUE,TRUE,,,,,,,,TRUE,FALSE,TRUE,,,,,,,,Subject's Residence,Officer in Uniform,,,,,,TRUE,,,TRUE,known repeat offender,,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,
East Hartford,1,15-14572,03/06/2015,19:31,Female,White,TRUE,"5'2""",100,57,C,,,,5 seconds,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,,,,,,TRUE,suicidal,TRUE,,TRUE,,,,knife,suicidal,,,,TRUE,,,,TRUE,,,TRUE,TRUE,
Manchester,1,M201505885,03/06/2015,12:57,Male,White,FALSE,"5'9""",190,39,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,TRUE,TRUE,,,,,,,,TRUE,TRUE,,,,,,,,TRUE,,,,,,,,,,,verbally argumentative/burglary/domestic call
Meriden,1,15-004328,03/06/2015,10:13,Male,White,FALSE,"6'0""",260,38,C,,,,3 seconds,1,TRUE,TRUE,,,TRUE,,,,,,FALSE,TRUE,,,,,,,,Educational Facility,Marked Cruiser,,,,,TRUE,,,,,,,,,,,TRUE,,foot pursuit,,,,,TRUE,,,,,,TRUE,,running towards schoolyard with children
East Haven,1,15-14866,03/06/2015,05:01,Male,White,TRUE,"5'4""",150,21,L,,,,,0,FALSE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Officer in Uniform,,,,,,,,TRUE,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,known to carry firearm
East Windsor,1,15-348-AR,05/06/2015,00:30,Male,White,TRUE,"5'10""",220,45,C,,,,,U,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Indoors-Public Building,Marked Cruiser,,,,,TRUE,,,,TRUE,,,,TRUE,,TRUE,,,,TRUE,,TRUE,,,TRUE,,,,,TRUE,,Tasered twice after pulling out probes and advancing.
Vernon,1,15-8188,05/06/2015,22:08,Male,White,FALSE,"6'0""",200,43,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,TRUE,,,,,,,,,,,,,,possible gun,,TRUE,,,,,,,,,,,,possibly armed with gun
Hartford ,1,2015-017092,05/06/2015,21:01,Male,Black,FALSE,6',175,31,C,,,,"1, 5 sec.",1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,,,,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,TRUE,,
Vernon,1,15-8164,05/06/2015,15:33,Male,White,FALSE,"5'8""",163,29,L,,1,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Indoors-Private Property,Marked Cruiser,,TRUE,,,,,,,TRUE,robbery,,,,,TRUE,TRUE,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,,
Manchester,1,M201506074,06/06/2015,04:08,Male,White,TRUE,"5'8""",210,33,L,,,,,0,FALSE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Other Residence,Marked Cruiser,,TRUE,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,verbally argumentative/burglary/domestic call
New London,1,15-001724,06/06/2015,20:06,Male,White,TRUE,"5'4""",130,32,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Indoors-Private Property,Officer in Uniform,,TRUE,TRUE,,,,,,,,,,,,,TRUE,,,TRUE,,TRUE,,,TRUE,,,,,,,
North Haven,1,15-10621,08/06/2015,11:42,Male,White,FALSE,"5'9""",230,64,L,,,,,0,TRUE,TRUE,,,,,,,,TRUE,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Officer in Uniform,,,,,,TRUE,,,TRUE,,,,,TRUE,,,knife,known emotionally distraught subject,,,,,,,,TRUE,,,TRUE,TRUE,
Norwich,1,15-1396-AR,08/06/2015,21:30,Male,White,FALSE,"6'3""",180,46,L,,,,,0,FALSE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Other Residence,Officer in Uniform,,TRUE,TRUE,,,,,,,violation of protective order,,TRUE,TRUE,,,,,engaged in domestic dispute,,,,,,,,,,,,,complied w/ all commands
Bridgeport,1,150609-230,09/06/2015,16:30,Male,Black,FALSE,"6'2""",210,45,C,,,,1,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,,TRUE,TRUE,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,
Waterbury,1,2015-31645,09/06/2015,22:20,Male,White,TRUE,"5'6""",140,27,L,,display only,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Unmarked Vehicle,,,,,,,,TRUE,,,,TRUE,,,,,,,,TRUE,,,TRUE,,,,,,TRUE,,
Norwalk,1,15-25728,11/06/2015,16:47,Male,Black,FALSE,"5'10""",140,51,C,,,,6 sec,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Commercial Establishment,Officer in Uniform,,TRUE,,,,,,,,fleeing,,,,,,TRUE,,,,,,,TRUE,,,,,,,,
Norwich,1,15-1421-AR,11/06/2015,11:10,Male,Black,FALSE,"6'5""",170,18,C,,1,,UAK,U,FALSE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,,,,,,,,,,,,,TRUE,,,fleeing from police,,,,,TRUE,,,,,,TRUE,,fleeing from several officers in river
Branford,1,15-13676,12/06/2015,21:16,Male,White,FALSE,Unknown,Unknown,35,L,,,,,0,TRUE,TRUE,,,,,,,,TRUE,FALSE,TRUE,,,,,,,,Other Residence,Marked Cruiser,,,,,,TRUE,TRUE,,,,,,,,,,possible weapon-history of weapons charges,"non-compliant, blocked self into bathroom",,TRUE,,,,,,,,,TRUE,,
Manchester,1,M201506349,12/06/2015,12:30,Male,Black,FALSE,"5'9""",129,35,D,,,4 seconds,,1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,TRUE,,,,,,,,,,TRUE,TRUE,TRUE,,,TRUE,TRUE,,,,,,,,,TRUE,,
East Hartford,1,15-15458,13/06/2015,02:54,Male,Black,FALSE,"6'1""",215,30,C,,,,15 seconds,3,TRUE,TRUE,,,TRUE,,TRUE,,,TRUE,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,,TRUE,,TRUE,involved in a fight,,,TRUE,,TRUE,,,,TRUE,,TRUE,,,,,,,,TRUE,,
Manchester,1,M201506399,13/06/2015,03:30,Male,White,TRUE,"5'7""",165,24,D,,,2 applications - 3 sec/8 sec,,2,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Indoors-Public Building,Officer in Uniform,,,,TRUE,,,,,TRUE,,,,,,,TRUE,,,,,TRUE,,,,,,,,TRUE,,
Hartford ,1,2015-18447,16/06/2015,12:20,Male,Black,FALSE,"5'9""",165,35,C,,,,"1, 5 sec.",1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,
Brookfield,1,15-353-OF,17/06/2015,14:32,Male,White,FALSE,"6'2""",Unknown,50,D,,,"3, 5 sec applications",,3,FALSE,TRUE,,TRUE,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,,,TRUE,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,TRUE,TRUE,
East Hartford,1,15-15927,17/06/2015,18:17,Male,White,FALSE,"5'8""",165,30,C,,,,5 seconds,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,,TRUE,,,,,,TRUE,,,,TRUE,,TRUE,,,,TRUE,,TRUE,,,,,,,,TRUE,,
Danbury,1,1500039992,17/06/2015,19:17,Male,White,FALSE,"6'0""",150,29,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Officer in Uniform,,,,,,TRUE,,,TRUE,,,,TRUE,,TRUE,TRUE,,,,,,,,,,TRUE,,,,TRUE,
Waterbury,2,15-33137a,17/06/2015,21:20,Male,Black,FALSE,"6'1""",170,41,C,,,,5/5/5sec.,3,FALSE,TRUE,,,,,,,,TRUE,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Officer in Uniform,,,,,,,,,,"arresting, self-initiated investigation",,,,,,TRUE,,,,,,,TRUE,,,,,,TRUE,,resisting arrest
Danbury,1,1500040242,18/06/2015,17:00,Male,White,FALSE,"6'2""",250,56,C,D,,,,U,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,TRUE,,,,,,TRUE,,,,TRUE,,TRUE,TRUE,,,TRUE,TRUE,TRUE,,,,,,,,,,
Manchester,1,M201506607,18/06/2015,09:37,Male,White,FALSE,"5'8""",145,25,C,,,,5 sec,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Other Residence,Marked Cruiser,,TRUE,TRUE,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,TRUE,,
Manchester,1,M201506621,18/06/2015,16:32,Female,Black,FALSE,Unknown,Unknown,25,C,,5 seconds,,1,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Officer Identified Self,,,,TRUE,,TRUE,,,,,,,,TRUE,,TRUE,broken glass,,TRUE,,,,,,,TRUE,,,TRUE,TRUE,
Ansonia,1,15-9024,19/06/2015,21:59,Male,White,FALSE,"5'10""",210,48,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Other Residence,Marked Cruiser,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,fail to comply with 02050
East Hampton,1,15-4426,19/06/2015,12:10,Male,White,FALSE,"5'10""",150,46,C,,,,5 sec cycle,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,TRUE,,,,,,,,,TRUE,,,TRUE,,TRUE,,,,,TRUE,,,,,,,TRUE,,
Torrington,1,15-23262,19/06/2015,22:27,Male,White,FALSE,"5'7""",175,27,L,,,,,0,TRUE,TRUE,,,,,,,,TRUE,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,TRUE,,Officer's knowledge of previous violence towards police
Watertown,1,15-6648,20/06/2015,23:04,Male,White,FALSE,"5'9""",183,33,C,,,,"1, 5 sec",1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,TRUE,,,,,,,,,,,,,foot pursuit,,,,,TRUE,,,,,,,,
New Britain,1,15-14203,21/06/2015,01:50,Male,White,TRUE,"5'8""",175,36,C,,,,"1, 5 sec.",1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,TRUE,,,,,,,,,,TRUE,,,TRUE,,,TRUE,,TRUE,,,,,,,,,,
CSP (State Police),1,1500368549,22/06/2015,22:02,Male,White,FALSE,"5'9""",152,47,C,,,,5 seconds,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,TRUE,TRUE,,,TRUE,,,,,,,TRUE,TRUE,TRUE,,,subject admitted drug use,TRUE,,TRUE,TRUE,TRUE,,,,,,,TRUE,
Manchester,1,M201506744,23/06/2015,15:45,Male,Black,FALSE,"5'9""",146,23,L,,,,,0,FALSE,TRUE,,,TRUE,,,,,TRUE,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Unmarked Vehicle,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,
Hamden,1,1500025296,25/06/2015,10:30,Male,Black,FALSE,"5'11""",190,42,C,,,,5 seconds,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,TRUE,,,,,,,,,,,,,,TRUE,,"Fleeing into motel, put hand in pocket multiple times",,,,,TRUE,,,,,,,,
Hartford ,1,2015-19445,25/06/2015,00:53,Female,Black,FALSE,Unknown,Unknown,31,D,,,"1, 5 sec.",,1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,TRUE,,,,,,,TRUE,TRUE,TRUE,,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,,
East Hartford,1,15-16672,25/06/2015,11:02,Male,White,TRUE,"5'11""",170,23,C,,,,5 seconds,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,TRUE,,,,,,,TRUE,,TRUE,,TRUE,,TRUE,,,,,,TRUE,,TRUE,,,,,,TRUE,,
Milford,2,2015003726,25/06/2015,09:56,Male,Black,FALSE,"5'7""",165,31,C,,,,"5sec., 6sec.",2,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,TRUE,,,,,,TRUE,,TRUE,TRUE,,,,TRUE,,TRUE,,TRUE,,,,,,TRUE,TRUE,"running away towards heavy traffic, subject covered with fecal matter and smearing it in medical facility"
Vernon,2,15-9304,26/06/2015,17:37,Male,Black,FALSE,"5'8""",170,45,C,L ,,,1-5 sec,1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,,,,,bank robbery,,,,,TRUE,,,,TRUE,,,,TRUE,,,,,,TRUE,,
Hartford ,1,2015-19906,28/06/2015,19:01,Male,Black,FALSE,"5'6""",150,34,C,D,,"1, 5 sec.","2, 10 sec.",3,TRUE,TRUE,,TRUE,TRUE,,,,,,TRUE,,TRUE,,,,TRUE,,TRUE,Outdoors-Public Area,Marked Cruiser,,TRUE,,TRUE,,,TRUE,,TRUE,,,,TRUE,,TRUE,TRUE,,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE,,,TRUE,,
Derby,1,15-6886,30/06/2015,20:34,Male,White,FALSE,"6'1""",250,42,C,,,,"2, 5 sec. and 2 sec.",2,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Indoors-Private Property,Marked Cruiser,not initial officer on scene,,,,,TRUE,,,TRUE,,,,TRUE,TRUE,,TRUE,,,TRUE,TRUE,,,,,,,,,,TRUE,
Hartford ,1,2015-20143,30/06/2015,18:26,Male,Black,FALSE,"5'10""",200,36,C,,,,"1, 5 sec.",1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,TRUE,,,,,TRUE,,,,TRUE,,TRUE,,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,,
West Haven,1,1500025899,30/06/2015,16:20,Male,White,FALSE,"5'8""",150,29,C,,,,1,1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Officer in Uniform,,,,,,,,,,investigating evading accident,,,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,
Naugatuck,1,15-16749,02/07/2015,21:48,Male,White,FALSE,"5'9""",160,28,C,,,,1-2 seconds,1,TRUE,TRUE,,,,,,,,TRUE,TRUE,,TRUE,,,,,,,Outdoors-Public Area,Officer in Uniform,,,,,TRUE,,,,,,,TRUE,TRUE,,,,vehicle,,TRUE,,TRUE,TRUE,TRUE,,,,,vehicle,,,
Hartford ,1,2015-20455,02/07/2015,21:07,Male,Black,FALSE,Unknown,Unknown,14,C,,,,"1, 5 sec.",1,FALSE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,,,,,,,,,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,TRUE,,
Branford,1,15-15346,03/07/2015,17:15,Male,White,FALSE,"5'8""",185,54,L,,5 seconds,,,0,FALSE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Other Residence,Marked Cruiser,,TRUE,,,,TRUE,,,,,,,,,,,,could not see subject/broke into trailer/open window,,,,,,,,,,,,,could not see hands/unknown if he had anything
